,cust_id,count_accts,cm_age,flag_top_ed_spender,flag_cust_fee_paid_6m,pre6m_cust_spend,pre6m_cust_roc_cnt,pre6m_cust_non_disc_amt,pre6m_cust_non_disc_cnt,pre6m_cust_disc_amt,pre6m_cust_disc_cnt,pre6m_cust_outbound_amt,pre6m_cust_online_amt,pre6m_cust_online_cnt,pre6m_cust_travel_amt,pre6m_cust_travel_cnt,pre6m_cust_retail_amt,pre6m_cust_retail_cnt,pre6m_cust_myca_active,pre6m_cust_mob_logins,pre6m_total_mc_trs,acq_sub_chn,acq_type_grp,fee_type_grp,Cust_tenure,pre6m_spend_active_ind,highly_utilized_ind,min_pay_ind,paid_in_full_ind,sum_total_line_amt,direct_debit_ind,referrals,spillover,self_accts,Customer Low Quality indicator,cdss_most_rcnt_prob,cust_max_credit_12m_amt,cust_max_remit_12m_amt,cbr_3_score,cnsumr_chrg_actv_cust_cnt,cnsumr_chrg_avg_credit_12m_amt,cnsumr_lend_actv_cust_cnt,cnsumr_lend_tot_util_ratio,sow_revol_avg_paydown_pct,sow_tot_annual_ext_pmt_amt,sow_tot_revol_bal_amt,sow_tot_revol_cnt,sow_tot_trans_bal_amt,sow_tot_trans_cnt
0,569986,1,37,0.0,0,9868,760,777.0,174,9091,586,1705,2286,280,3219,268,2668,240,5,9,474.0,Paid Search,external,no_fee,10.0,1.0,1.0,0.0,0.0,46000,0.0,0.0,0.0,0.0,0.0,0.048,1880,1875,833.0,0.0,,1.0,1.055513,0.0,,,0.0,,0.0
1,569987,2,33,0.0,0,,0,,0,,0,,,0,,0,,0,0,0,0,MGM,external,reduced_fee,1.0,0.0,0.0,0.0,0.0,5133,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2,569988,2,40,1.0,0,2401,302,1045,166,1357,136,289.0,483.0,96,220.0,18,986.0,176,5,5,2.0,MGM,spillover,no_fee,10.0,1.0,0.0,0.0,1.0,69600,0.0,0.0,0.0,0.0,0.0,0.0,739.0,618.0,1251.0,0.0,43.0,2.0,0.029297000000000004,0.0,,,0.0,,0.0
3,569989,1,34,1.0,1,9836,856,829.0,190,9007,666,2104,2545,292,2109,254,1921,274,6,20,170.0,MGM,external,reduced_fee,14.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1864,1851,1004.0,1.0,829.0,0.0,0.0,0.0,,,0.0,,0.0
4,569990,1,28,0.0,0,2351,260,584.0,90,1767,170,63.0,282.0,56,127.0,26,1878,124,3,3,9,MGM,external,no_fee,7.0,1.0,0.0,0.0,1.0,9600,0.0,0.0,0.0,0.0,0.0,0.0,752.0,731.0,1293.0,0.0,,1.0,0.200658,0.0,,,0.0,,0.0
5,569991,3,42,1.0,1,18963,1508,2451,298,16513,1210,4286,8199,692,8392,508,4183,436,21,279,367.0,Unreferred,others,full_fee,91.0,1.0,0.0,0.0,1.0,165000,1.0,0.0,0.0,0.0,0.0,0.001,3302,3276,1042.0,1.0,765.0,2.0,0.058062,0.0786,5083,9240,3.0,,0.0
6,569992,2,36,1.0,0,5784,872,945.0,312,4840,560,480.0,2877,388,1811,194,2078,456,15,475,28,Unreferred,spillover,no_fee,57.0,1.0,0.0,0.0,1.0,72000,0.0,0.0,0.0,0.0,0.0,0.0,1781,1771,1304.0,0.0,,2.0,0.08797999999999999,0.0,,,0.0,,0.0
7,569993,3,34,0.0,1,4932,118,305.0,14,4627,104,1488,1660,108,2391,24,1527,62,18,48,184.0,E-Mails,others,full_fee,70.0,1.0,1.0,0.0,1.0,21333,1.0,0.0,0.0,0.0,0.0,0.13,1483,1483,906.0,1.0,145.0,1.0,0.9575100000000001,0.0,4263,,0.0,1262,2.0
8,569994,1,30,0.0,0,286.0,18,,0,286.0,18,102.0,113.0,20,184.0,10,102.0,8,4,5,1.0,MGM,external,no_fee,30.0,1.0,0.0,0.0,1.0,20000,0.0,0.0,0.0,0.0,0.0,0.006,210.0,169.0,958.0,0.0,,1.0,-0.00047999999999999996,0.0,621.0,,0.0,,2.0
9,569995,1,29,1.0,0,1580,178,542.0,98,1038,80,137.0,592.0,52,382.0,8,678.0,112,7,41,29,Direct,spillover,reduced_fee,9.0,1.0,0.0,0.0,1.0,16000,0.0,3.0,2.0,0.0,0.0,0.001,282.0,281.0,1255.0,0.0,9.0,1.0,0.230783,0.0,7920,,0.0,285.0,2.0
